id;name;states.name;states.cities.name;states.cities.latitude;states.cities.longitude;states.cities.id
31;Brazil;Minas Gerais;Abadia dos Dourados;-18,36347;-47,46997;10054
31;Brazil;Minas Gerais;Abaeté;-19,11099;-45,43051;10057
31;Brazil;Minas Gerais;Abre Campo;-20,27265;-42,43908;10065
31;Brazil;Minas Gerais;Acaiaca;-20,4036;-43,10077;10068
31;Brazil;Minas Gerais;Açucena;-19,07306;-42,54639;10465
31;Brazil;Minas Gerais;Água Boa;-18,06423;-42,23027;15650
31;Brazil;Minas Gerais;Água Comprida;-19,99124;-48,11035;15655
31;Brazil;Minas Gerais;Aguanil;-20,96959;-45,41717;10095
31;Brazil;Minas Gerais;Águas Formosas;-17,08222;-40,93583;15666
31;Brazil;Minas Gerais;Águas Vermelhas;-15,74722;-41,46;15670
31;Brazil;Minas Gerais;Aimorés;-19,62552;-41,20955;10102
31;Brazil;Minas Gerais;Aiuruoca;-21,94703;-44,64779;10105
31;Brazil;Minas Gerais;Alagoa;-22,18147;-44,66024;10107
31;Brazil;Minas Gerais;Albertina;-22,19908;-46,62076;10115
31;Brazil;Minas Gerais;Além Paraíba;-21,80936;-42,7574;10201
31;Brazil;Minas Gerais;Alfenas;-21,39287;-45,99521;10130
31;Brazil;Minas Gerais;Alfredo Vasconcelos;-21,1424;-43,71114;10133
31;Brazil;Minas Gerais;Almenara;-16,10053;-40,71006;10142
31;Brazil;Minas Gerais;Alpercata;-18,98379;-42,00135;10147
31;Brazil;Minas Gerais;Alpinópolis;-20,81822;-46,37937;10149
31;Brazil;Minas Gerais;Alterosa;-21,21904;-46,18694;10157
31;Brazil;Minas Gerais;Alto Caparaó;-20,44669;-41,87096;10168
31;Brazil;Minas Gerais;Alto Jequitibá;-20,43703;-41,95113;10172
31;Brazil;Minas Gerais;Alto Rio Doce;-21,01929;-43,40538;10181
31;Brazil;Minas Gerais;Alvarenga;-19,3987;-41,68138;10190
31;Brazil;Minas Gerais;Alvinópolis;-20,12078;-43,15399;10193
31;Brazil;Minas Gerais;Alvorada de Minas;-18,79532;-43,37002;10197
31;Brazil;Minas Gerais;Amparo da Serra;-20,52383;-42,79878;10220
31;Brazil;Minas Gerais;Andradas;-22,06984;-46,5723;10245
31;Brazil;Minas Gerais;Andrelândia;-21,71132;-44,27912;10247
31;Brazil;Minas Gerais;Angelândia;-17,72394;-42,26234;10252
31;Brazil;Minas Gerais;Antônio Carlos;-21,40838;-43,76937;10273
31;Brazil;Minas Gerais;Antônio Dias;-19,56225;-42,88855;10275
31;Brazil;Minas Gerais;Antônio Prado de Minas;-21,02658;-42,15497;10281
31;Brazil;Minas Gerais;Araçaí;-19,242;-44,22429;10369
31;Brazil;Minas Gerais;Aracitaba;-21,35243;-43,40862;10312
31;Brazil;Minas Gerais;Araçuaí;-16,90822;-41,98596;10373
31;Brazil;Minas Gerais;Araguari;-18,64722;-48,18722;10324
31;Brazil;Minas Gerais;Arantina;-21,89632;-44,22633;10335
